county,total_population,adult_population,median_income,alumni,alumni_share_of_adults,alumni_per_1000_adults,retail_sales_per_capita,labor_force_participation_pct,services_revenue_1000,services_revenue_per_adult
Anson,22200,17762,42000,248,0.013962391622565027,13.962391622565027,18000,63.5,,
Cabarrus,226396,169324,83828,9037,0.05337105194774515,53.37105194774515,24000,68.2,,
Cleveland,99527,77490,50723,1473,0.019008904374758034,19.008904374758032,19000,61.9,,
Gaston,228972,177838,62628,4875,0.027412588985481167,27.412588985481168,21000,65.1,,
Iredell,187839,145632,73103,3800,0.026093166337068777,26.093166337068777,23000,67.4,,
Lincoln,87933,69678,75672,1980,0.028416429863084475,28.416429863084474,22000,66.8,,
Mecklenburg,1115403,859267,79265,43783,0.05095389442396834,50.953894423968336,27120,71.8,,
Rowan,147067,114690,59717,2735,0.023846891620891097,23.846891620891096,20000,64.0,,
Stanly,62723,49237,60634,1580,0.03208968864878039,32.08968864878039,19500,62.7,,
Union,240109,177623,95533,6760,0.03805813436322999,38.05813436322999,26000,69.5,,
